timestamp,open,high,low,close,volume
2025-02-25,735.0,749.7,728.1,728.1,36374
2025-02-27,742.6,755.0,713.6,728.0,36875
2025-03-02,742.5,770.0,740.0,770.0,51357
2025-03-03,775.0,796.0,770.0,772.0,62911
2025-03-04,772.0,780.0,750.0,754.0,31720
2025-03-05,754.0,757.9,737.1,744.0,29193
2025-03-06,750.0,756.0,737.0,737.2,16543
2025-03-09,750.0,750.0,726.1,728.0,20888
2025-03-10,729.0,742.3,716.4,721.8,23912
2025-03-11,727.0,734.9,705.0,707.2,27101
2025-03-12,711.0,718.0,708.0,710.1,20698
2025-03-16,710.1,714.0,700.0,707.9,20873
2025-03-17,701.0,720.9,701.0,705.0,15655
2025-03-18,707.2,716.9,702.0,704.0,12066
2025-03-19,704.0,710.0,692.0,693.0,23346
2025-03-20,699.0,699.0,677.0,680.41,35551
2025-03-23,668.0,680.0,656.6,657.36,24668
2025-03-24,658.0,679.0,648.1,676.45,19636
2025-03-25,676.5,676.5,652.1,653.67,22810
2025-03-26,663.0,667.0,650.0,660.0,14004
2025-03-27,663.0,670.0,658.0,665.59,11616
2025-03-30,665.0,680.0,665.0,674.9,19716
2025-04-01,675.0,675.0,660.0,661.43,16675
2025-04-02,674.5,699.0,664.0,683.83,34750
2025-04-03,690.0,697.9,670.3,671.52,26834
2025-04-07,683.0,683.0,662.1,663.4,14550
2025-04-08,660.0,669.0,655.1,662.25,14942
2025-04-09,675.0,675.0,660.0,661.3,11472
2025-04-10,674.5,683.9,660.0,662.27,12415
2025-04-13,655.2,675.0,655.2,658.9,15436
2025-04-15,670.0,700.0,660.0,678.48,31114
2025-04-16,680.0,680.0,668.4,670.26,10581
2025-04-17,680.0,683.5,666.0,679.49,24755
2025-04-20,680.0,680.1,667.0,668.97,13971
2025-04-21,675.0,675.0,660.0,662.19,26183
2025-04-22,663.0,667.0,654.0,656.81,15547
2025-04-23,657.0,661.0,648.0,653.66,12428
2025-04-24,657.0,659.0,640.0,643.0,16775
2025-04-27,649.9,678.0,634.0,642.28,25786
2025-04-28,644.0,680.0,644.0,665.12,55539
2025-04-29,677.0,677.0,655.2,662.33,11563
2025-04-30,662.3,674.0,650.0,651.56,12045
2025-05-04,651.0,656.0,647.4,647.73,24801
2025-05-05,660.6,660.6,639.0,639.72,16068
2025-05-06,640.0,643.0,629.1,629.62,29092
2025-05-07,628.0,665.0,620.0,653.76,37095
2025-05-08,665.4,691.0,645.0,675.6,80601
2025-05-11,674.0,685.0,648.3,655.21,35565
2025-05-13,654.0,667.0,646.0,655.57,17741
2025-05-14,655.0,664.9,645.0,647.54,20443
2025-05-15,650.0,651.0,638.0,640.45,13899
2025-05-18,642.1,654.9,642.0,651.33,26636
2025-05-19,652.3,662.6,646.0,647.62,11289
2025-05-20,645.0,660.0,643.0,656.69,16327
2025-05-21,661.0,701.0,647.1,648.93,28952
2025-05-22,645.1,660.0,644.5,647.45,19475
2025-05-25,660.0,663.0,634.1,640.98,20303
2025-05-26,653.7,667.0,644.0,645.98,17489
2025-05-27,645.0,648.0,636.1,637.37,9530
2025-05-28,638.6,640.0,633.1,636.08,11540
2025-06-02,648.8,657.0,637.2,639.5,8757
2025-06-03,641.0,644.9,630.2,634.45,9802
2025-06-04,638.0,640.0,627.5,629.23,9492
2025-06-05,625.2,638.9,620.5,628.12,20197
2025-06-08,621.1,631.0,620.0,620.52,18205
2025-06-09,625.0,630.0,621.0,621.46,14461
2025-06-10,621.0,664.9,621.0,652.9,55712
2025-06-11,664.0,665.4,637.1,639.3,40233
2025-06-12,648.9,652.0,636.1,641.84,18160
2025-06-15,646.0,650.0,635.1,635.93,22391
2025-06-16,640.0,640.0,628.0,630.69,13356
2025-06-17,630.0,641.9,624.0,625.04,13261
2025-06-18,637.5,637.5,624.8,629.31,27083
2025-06-19,641.4,641.4,620.1,621.36,21102
2025-06-22,612.0,627.0,612.0,614.15,12854
2025-06-23,622.0,626.4,606.0,610.3,12810
2025-06-24,615.0,620.0,600.0,602.43,16815
2025-06-25,610.0,614.0,600.0,600.33,12295
2025-06-26,610.0,610.0,597.0,598.81,11996
2025-06-29,605.0,605.0,591.5,599.77,17061
2025-06-30,600.0,603.0,595.0,599.57,6378
2025-07-01,595.0,614.0,595.0,610.16,10195
2025-07-02,612.0,628.1,611.0,621.98,29052
2025-07-03,634.0,665.0,616.0,647.31,54190
2025-07-06,655.0,685.0,642.1,667.77,89361
2025-07-07,668.0,670.0,640.0,641.74,31850
2025-07-08,640.0,655.0,630.0,650.21,23409
2025-07-09,651.0,654.5,639.9,647.94,15701
2025-07-10,660.8,660.8,650.1,653.59,16860
2025-07-13,666.6,679.0,660.0,668.49,42374
2025-07-14,666.0,679.2,662.0,675.13,36337
2025-07-15,684.0,710.0,672.0,696.09,98379
2025-07-16,709.9,717.0,703.1,714.37,50552
2025-07-17,728.6,729.0,711.2,724.47,56418
2025-07-20,710.0,724.8,710.0,710.5,115934
2025-07-21,709.0,717.5,705.1,706.93,58833
2025-07-22,719.5,734.0,715.0,730.29,56338
2025-07-23,732.0,756.8,717.0,738.61,61567
2025-07-24,738.0,750.0,725.0,727.53,33090
2025-07-27,721.0,739.0,700.3,704.47,71629
2025-07-28,695.0,730.0,695.0,726.38,57195
2025-07-29,740.9,740.9,720.0,721.04,28352
2025-07-30,718.0,735.0,703.0,705.6,27941
2025-07-31,701.2,748.6,695.0,708.8,78804
